gameDuration,gameId,gameResult,participant1,participant2,participant3,participant4,participant5,participant6,participant7,participant8,participant9,participant10
2225192,3967543028,100,VYxaz9D-uRQ91zZq8diMjzJB65UaT8s6PYDpvf2TFMwCf1CtaX_wZZkGiHoruH0irry4kjEIPkOAbg,lE3rffQHojB3srQWwNYAXbP_vs_ai4f7VhkTI1CNGZ9RC6oy2bp4w1FTe8zoCyBCOTvxUEvCE7Ha4g,e6UKa50VQ37qlvCoqafTHH6J7tc5vCPnjHWviMDRmg4csIbyI8x6S0KcEZsT52DzF3nb-vBVLjY5kw,Fc8Z5pDHT3Bt2OhCjOKEl55DtP013KWXi2CGTUywFkzCYiVbuS9ahl2gMLguWEPv3EN0Sc0ds80zqg,lzIIpAtI2C0DqelLBbfyrdl3yCOao-cRXSHoLgXF72Gpdn470sJmEaDa6LxrRNz_Ep48efRhC0JfaQ,zbNRNxMx50kS55Ontyzvm2JMpL5UcJ96anW_5SE9fku1uIVAzl-dq9j4wlHVVF-vgZMMLRsXr-Txhg,nUMZkBw7O-EK5d-1xQNAZhHKaO_G47ZV7A1AwJjcbptm-YQqaV7ABPfmJ4sd2t3h52oLtsgwPbEiGA,H6F9D9HR6-0L37WnW4atXDa__zzWFcvNzsQviqGrm1GREJ0fCvAcwKvyeNG8jwhD-gxKGILTWhHXxQ,nSuf5Nh_VZClWbZERMFeJTHmQ9_wSXrk08ceJvUJouuoxqUh7QnW18WFSdM71UJD7xIeks4JVQPp2A,xafoMzw2TmIHT7BcnrmWLiwyYbMefBtXYCpst5LwoRJ8vn0_ngwdLC-CL7yKPxTpFq2X6y2UratTqw
2190176,3967108783,100,1yXVu26Mn3rMJJmmWjc0QmY_zCTRjC8EdVCmKDmcllqwqTXTQE7UFuFqw5EUUGX54HUIFJhxIvesNg,Pb_qITMnKS1QCdYDX8l4vNJQlj097L-aV6JopMMKvgNE8sxRUmfG-Be7P4DDYoV96WpEdtmTMxrZ8g,KBRAPY8KwTwxuzPJknUmNlAaRnyAVVhA3oFgZL14hAS4m6-y7fbTdgCOcR0LgqAEDuE8OUmbwA3-Hw,7Hd_isGmgP5J9Mv4OrZaspQ5biDegWTirWCAmYbAuMPvWBUtVLD_AnfrD6NQlyo7UzZdsoMG6NJZPQ,p4NigUWYtiwKXVaSzaCykfQ3GuenXQakRSIq69tUTGBk222l5w-cJvCd0scE4Lv9ck1UO4tvw5Tz-Q,y9QFN7GkBfJC8PXQmX_GcbbRQCjK-Qfw_MauS2riHsPV2PqWRN88ZPbrYmjrRIQ2410hmd7P-y5tAw,OM3rzFVErM-iW1zKSyrIjLiRJkUaKt6uyOEeDIrRwcnhjNyAoF2YDr_-zh7rL_lzHK1qpeuz4fgDkA,cKD7opKHFY3xmhvzk_inDsIfawryqzN1vCwZ4JVWk1F3lO11YfXWz1Re4wHoOMC9LUrtmdcmJK8uuw,KOPPF2jUyZQmwzDVyzlCEnwd-mtz3K1CxXU39UjviR241ary6kg3XkdklbGmyyDuD6l71iuqGsq5ow,ruYiIO4LStaELeY5wg3EUjeKYZjLUTVTBeX7QZfzFU4-5Zejw-62DAwR7QN5MyYGzwr8HHPgyVsdJQ
1821330,3966406506,200,u8XFvz_Z-EiZg1UjNR4p2C7JgfGaY6YNuaC-e2JesDUWK0CiNnDI4GUng9urQu0f9SHR0he3RaCDEw,66-rsx39Uaycj7mawy-hluyfEd5l_ixqXDFSV7x0TSeAJNxq7kCvNLxO_Ym6AKw-216B67rpvsg3wg,G-Eu9rmUwN271qqhb-cEuv3f1t4IGnRanIq7Cty4cSWRQEixoJqISmsdas2AkWNdjhTq0SHxhesmOg,OdGE71KwqpYMOdZrcyMiT_GvdJpP35YKbazuhwz8hSgMjhw2RM-fKuiJXx04Gb2GgzScRmJq0lsLsg,kB-mNNAD28wmjYXTfyestyS5T5ROxhPfObyBY-sa_1btNYPU7rfypOC7lL8TldWt0FGtxuHlBygxqA,jBpM__FZoDCG93O_L-QwC0rj_2_pOD76JGKVfav6WWgf1M8Y0Dvw7cTMcTf2T3mtPeqYVU9kKFirog,k1QJs9ir0TzLIKDX9AKefT600QvrGIakMrlm7js94Of0nh7vs_k33y4eC_RvkysgwOD-E2mfS83tig,YCyjkYs4gu9T6rTdwThapljD0pKK3MgESg1KqJg-o2f4JM2td18tBgdLkEZDDTEK9XBDLp7kRMQbpw,M76Q0iEbYaxIsNmNl0EJI4ptw8GyuTTvDc9EK9AzqFzmFVWObTMibhEs4XtvBbBUFLEkHW-ZPdyRKg,mnL3tmUJB9-Q2AKPI8G_zz6NMphSPjjSEO6PKLMPvQXXaTdC8jHg2HqjLVQAjchc4fEsd3U39RzNtw
1873082,3959573577,100,8n8JudAXoPP8Qj7g_6q5fvd5s9c7qne5S2P8WR83z0961gBXkt2qV9YJm549fRtATehHvXzJ_LRO_w,QMigym7qsOMVzSLFW6IYxHqcLhGgkac-1ukyzF1fbmn47VUzMxcXmm3rvLqGt6B8cuplJmFoTpHJmg,ZA2ZGigHPekYs6r9DNgB2jdBg-KpY5m7-_52uRJ7gkHtrM-uRVKLcm0kjsMV8KY60K8HAOEf1nOHeg,grlcZEfjSW3CFIYdYO5OSqNc5msaGDf1olTWum7rXPjTu50GpSr9yv5hZUmc0OrYdnrRhVCLLNAS1g,kZDWYPKYgNmB8lgM5nLPhrEEdfqhmNrzmFkXYWTWwFRiKCfqdEOJ_Q0ulkxBdAkg1GVSkdGcQnVNfg,4ZSwDMqe9CWslQR560JZob-kC2sUwSuZDbtceMEKX7Ja8Q9rl85wxXNeSWFZGUUMzbKQlVIm9fi2JQ,UVNEW4nrBkEv_2g_w_FsO6IsuzwG4Vmi5ObQ8or5RTxG7h8aMcSW2s7DLCeLB2IAbHAVXS7d89ojBQ,OjfrIkw5KuoEmCLWVpiKXRul2vrmWbAOaGH6erfVilvFqfIC2FwhfK2y7MNzUHw7wzxbiPAJB_EXrg,mjg_kxnHiRlQM33JFqeE5wcXXOjGmMicFilDNlVaf46m4Chc892XXyaJH-nCsMJ45hpTQzTOYZUaMQ,CAl3ODbNSEdwGX7opuhE9Y1ZHs8a8vKsMcLu0h35oQDx6P9tIlUsAM_1REaPz_EmONJeNr6oki_cVw
1679119,3969213213,200,xGvZmDBP_O8s-n8GgB3myxuEGm5JwjH8KgvTSS8f3X4rofvk-H1cnLeFnitokr01kv6zTV_lBBWkBA,CpGlXdRkXhY0steaHu1shYtJc1BGlBhmrJdW1nMWYsbGKU_Jn_9c-KFdmxT4UUoeTJ6OVkxXTMhAGg,u7Alp99ZNzbD1kC3cJlyJK33XxIEGB_a854sM9WoswHcM04jfQaO1xVf9m5M3S_UAsD24xcQ5meH2w,PhJaBJ5l0OtdyV8xr7xkiiNaqcg5WRxZNcLdaBvoxglzq3hUxwF6Ng4_DLiRcA-1zjODW8CwZZKQ1Q,7fbf3YY32V5Wa5vYJy1K-LGxQJhBo62W09UZQUqLROitWt73KbJaj4s-YiOeOpefQm3IAYDn1irm5g,Kdnk5eWztgjDlyjxYxBMCDVTyicor7mc0CzM55mtZy7sy9YGmM2tgKDubBJC6E2_zYGZ4v73_G0wZQ,gOO3C3Tl6ZUWAA7KPAiJhOlRlLQtu1L8RkgEfK0dp8yopRY0eZdXPO8kM4v0cr1TN_Akf8rxaoyW3g,4tkJJoiti1Z-wCfLo7rldW9PjGagwHFW7RzBD-qeEupOiKEKO4c8RkEMTsv_CkzDRsle4qbmp_u3bA,DXLJtU3HO-3tGzVN5L8_M3XhoGA5L38NI9-gsCw0rmRQbOplzZLj7aDb2j_DjvjfTY512gIdZfNmXQ,SasvX6o8sDIFh5brS5KKsyM-WU1ht6ATAeBpfcw8senQXEmgJTZoSy9_KnsDITeIEhKuNYH4yR7UZA
1520682,3962053577,100,qDUfi748VVuRrx0K1o9mHxKy30-pi_oJWp9DDcxSvCVapi_xhfl95D2Kq29GlzGToFqD4GIrnThsxg,ewmpvywBbj8ubW3muDTZFHdTRblAAKd51qD5LvkmPmDYvCkbdsk007jcl8r0g1dG6NuA0-jJ_A8P9A,SKcy2Kpu6PYbyx73QuGrecPYtfXo99tUnhPRGlpplmHkRTi7Z0DLHkl259T4u4ntomk8K1IJfe2LnA,xQpG_TVht5OSp82by474wqUwIYlHilg9tdV5hufMQAzsbkp3uYc53fVHOX0zb7DvJzO6DpjTU2Z3oQ,HvFO7-5jY2gaQp2PO3-SwraxcdCz-lb6reOkW2JIGURGDCi8iYhY1h5Mr2nkZbv-u3Jj2RGuMSq8Xw,XjW8jLhIhPA5yT1dJqA6w1pG7ab-WZRCQxyIM617aTuWddVNxudkPBbu4vM9D144njv0UZEEQ-eqsQ,OZGH8zb0OuFHxO7wJ9lUvKzAFE3mSHkZS3y2lUeKfk0uXt1dyrHR_oYwGe9yP7CTbEc1Z5uhDa6N0A,s-4Rt-kvO34_Wazc0p6Ltjm7xE5zRLl2efEv1u6PHhuniG3YtyX0YO8EDCfULUjvv03Va-M6ypK_9A,7i3H9q4WIVbSi1NNygwqezOBz7rCJ_rh2pR47sqSKsC9BbkbtdOWPEcr14hRgzE3g0wvnWjD770hSQ,bHWI8hkfGskWuWCamARXN4B5gx16BMNTqozanwRntHBbc0UorxxCBB0x-5blbKkdH5s2qmVJ2VkR7g
1424544,3966571870,200,-JxvO1YIxasUTAlhyCbLDgQccm-Zm20A7gzR22gF_k801jOlQ_bf36pSQEcN0V58152g6soPMvUs3g,MYjX97hjWOsAKCSKcLsMhnwMD26YRUHnqZDj0TSJks_JRIMeuGDsBEJs1PMtio0Rp1uMiUEmJgsU8g,7QamsntyDDCDjwu0moq6ygIb8xEAKalbT9mGOiMhFNODt-t4Nyid9tmiMquecmNkK7SBORCbIJmjGA,bkaQnU6TI8tOBg1OlqojktnTCGqgSEnNNRN4VAqlsN88bu6e5LCi2g_Hw5ht-dqGMUeFnwJPDm72Ig,6cDlvItxCH_iIdZ6vukCXQJVK0eC_PwZclAjO9rBPMUtZ1UJRj15o9LvV8vk4EavfTBe-Z7c9Z727w,aKDmUupnrsSEBvTbxTgSHwEL9rNTkro2Ezk_fVqB8_MKcDL_fGSLUlR0tpX82Jw6MaY1VI-PRyEtwg,w5-b7VQLN5Oj7OS-YTctpFDy5wkhOSYtqgHsSoi6KNQOnVJJ6vfICsL5thzD5wh0Ym4LDRhn3EY_Vg,aKdKnWpCSKfSKwWrdH5lz6IGB9L9TbTFhXwQjOQjcQl76cuA_OwOmdA41XeijVv9W3Z568sj_D6kWQ,mZh60wYyqX8gNxHISLLQfGTcL75smCdupPKtdsyDU5a2J3uJ1cCYQzgwhoNUCVaQO7lOOsjulPMreg,WXb56qqqqko84pnoKkxi7qXhMbKX5e3VYBPbEFyW-BeO-LtdRkgZ0aGvMeYkss9S3CUOCkYFl_dQPw
1471521,3967494777,100,kBBFBCZaEz3aJUcgV0NHaRxEzS4m6S-6pUzw2T5KhvNiv58sGDIdSSiuJuxJlYsiXfDKk7W_6ULCgg,fZ1ATyeNNz91Y5Lj4M61mfKWl0B7-GTwVkfVgubTy-e4PDMz-QOl4kp5K0Upup169didM0R58gJykw,Dej0PJkgNaEvhYFqa6_GrfUbd3FD4MLyBweYPPnKYstmihoqBrgsyDYvukquiMF725gBUjJsdX4BXA,hN2Sp6QF2_4PXIL39Z1fXisBN0q3gPmckO3oYFcJamS1f6z0-cD060sfgLrirjFqNfh7JnfVSag7ow,yl8IRkU4h9DbXzhudSKcJcrS_M3d_CxBxCErY4Bqed4LGlUt_TMdo1jwqjasrY2NmWfCTpa8Y2XHUg,CcPwpthzCKBXJJTR-YYhB0LQjs9pv0NTaw2pg6VC4NE20OX9lE-RYbWchMmHi6LqeLakj__sYroEEw,QGWAF0VbjRmd2dz8fk5iz5bP6hXPP7SlJybbHzK5rM1WSRKRGNClcCxwC5wI7X4wZvumKLJsZZJhSQ,R1VzKzDykbXaAYEKoRCF4EDlgVmaBi81II0HjRLV9H4cjncJorZCYOA1d8PVhFX_k7VBpdgOxghaBw,uuzd0IkpAa6fSBSE26VzCzzzgXlDoN3kBiZyeX6WESUr1D8hwz3xe6pS-3M12CDu66xRYIqhQGdpcA,pvJTW8DstFPp5YOlwbnp9X8331hPn_CVF_SI0msgamH2zKsuxRj76a7NHNT85N-m5jBQChM9Y9bPjQ
1776649,3962503354,100,51wWrXYW3L3vzQ9mAJI8HaK0M5-Iqc0EXk8P_oZYvYk26JMrk_W5ex7Xpk21weqShhuit6tbTZtm8g,9XKHozD7BXH7bhUhg5y2vWSXKeFxJnyExlFCxJrR92KkBp3h4p_eh-_OxyIIXRJmt1LCCsBFHwnY3w,7iAFYYzVl_rW4DnUJMl0Z34OM0nJidMTe8Js4ADz5nWoGKmhFNSWjzwqlsJssSfnLvYJ7h0bZpVIfg,NQFcVN8n9nxWx4yGABJUml2jsWndTuAYhSezAeLCUnqaD8WYI8rSBPTqvX_YJtHdHsFMJuLV3ISp6Q,3-JhR7Wx3C0pI19ll8d9mJQ_PXpPnIRu5sg4Pyv14fxGgv3zbgVNo5SxcUV9rwJyPjEhu16soaFo8g,ppH759tfeHZdjkSEZPlc5OBP5kNFzeq3WzYocPZBRs6teLHi9XbSOTEKrswWJx7EwW4eIkDHGS8qWA,hOAaUwNRvXrlHCmf1iwZjQjij8FWW0kQQ0O3tz5VhPEar7BCQ13REsaRiPkTBTn_fia1fmzvUH69-w,f1IZJxKpnyWxC3NnulkkthEkQchluhpR_3_RZV3fi17HSEZbzpTfMq9dneMuFP_c_rGHLOkBMsoptw,N0riGrVJOy9rWZE_SMf36-2E0DI6ruTNHjBKlb9tFlipklcZyjuIIIzGekZkLwvg-VMfHFTPPibJyg,w8YdalTrE6E6EGt8Mqr-L_d-pdzG3rASjy7BC3tyu5w2hfHdwFfSqsXtD8DFgg62g-0A8LiPiJHgPg
1935263,3957199836,200,ubAHCDAfGN-xt7WLW5MUkgwwwv7NZaWC568rgGidXSyELQo2QoWebfsKoKpZv070XWjAOPRpeGb2eg,njvkX5j7HJemJ8_Fx4e5_5lAQB4Z7Sb2QCME7iXLSMUy_MYggoJsmiFDysrM0UlSaxLzoSPr6KyCJg,8n8JudAXoPP8Qj7g_6q5fvd5s9c7qne5S2P8WR83z0961gBXkt2qV9YJm549fRtATehHvXzJ_LRO_w,Ncm5CTBpyutYAKkose6C99RYj9GCACof6Vp6stC2gZmzat3AXaBO3YYagIundKawIWHSZTHbp475CA,XKv9RLNBl54RvYfcf-NPDUjnYnK0tsItYz7BpZcMkbYlW5NIG0A-qNTtCCTMkljtvpDiCLcDAIPLjA,TVRoBMEsJcnaonzVyxu5aF_p5YUOnE8n2yg1qG7cPGql3QH-quNlZiPW2Uxz5OeHgXIJ33MHo9hsOA,lTRYxj8IQ6tO8bKnJygqUniKl2LSmji6DQIB9Radr5x-QI_n8mkljgr2xxvll1zluT_TbS2Ot3bp1Q,Xx1BJp-rskNjK14B3D_73ZyXC-yFBgLoiG_-lRuvhgOJUpSfiQ7tArShAZCkdpY0uCzt5CPqjn1w5Q,9QlnEGaxxWE8S4li5wKFsGLsX-Zu1Y-cqkuvj7Rhtjk_ozpvtCIMQ-d9r2x4XpFuZlCB0GyvUtODPA,npgTLDbSdT1c2NZOo_H1j6AGBgdBTGRi-Ykn0F0-IMgvJFTp8joMXIXXagZjQQsrG7CCoIx2zEjcUw
