gameId,puuid,championId,championName,teamId,lane,kills,deaths,assists,physicalDamageDone,magicDamageDone,objectiveDamage,item0,item1,item2,item3,item4,item5,item6
3953528368,NIczdOqV7G-O6Ws4HuFr5wBm2MTKs8lD74RlQeLKp6YFQ6PJiEW6nG4k_hN-2k35ZtlTYHfIwZzurg,83,Yorick,blue,TOP,4,2,1,6294,2981,38724,3181,2055,2033,3047,6632,3044,3364
3953528368,GYU28FKGTxQFOD81Gga6tTDzUM0QsKtyrCDk6IOfvVujfzaPjQPSn0BIu_r5dWqu0OTp9IT4O1yHrg,20,Nunu,blue,JUNGLE,4,1,10,1038,7500,11915,6662,3075,3047,2055,1082,0,3364
3953528368,aDS4UYZ5jq0jkOvDYcdKZFZ2Vs9-zCrSA8Jp-8JzHWgrjXrPsaXFgkoE58qaWRMw-BeMngC2NDINmA,157,Yasuo,blue,BOTTOM,8,1,7,11551,1663,11885,3006,2055,1036,6673,3086,3031,3363
3953528368,VoafAeiZGILsCf7v6vZPVvzw5URAP0kogg_VtsUBRaxdCbknAMEsAMW6XzdwhTNEMyJqkikSUl6uXQ,245,Ekko,blue,MIDDLE,1,1,4,1301,7278,2865,3152,1082,3020,1026,1056,1052,3340
3953528368,aMZ7ctDmnI81kSmqDn8ryGfpxGDn9iMsYc3Y2dOaR2_5FFQNMq9pZFA-VkFwZjN2ogOsVTqncAmskQ,44,Taric,blue,BOTTOM,4,0,11,1076,3358,1698,3860,3190,3158,3109,3067,2055,3364
3953528368,44v1DMCy07jX1GjKRVt87A9DMHeshRZu3Wl2lSvMuowV1J7pQfTboWV0PqSPyvcPP4kJMlfnA6IKzw,24,Jax,red,TOP,2,3,0,4415,1319,11668,2033,3153,3047,3078,1037,0,3340
3953528368,O-5QjO_k8-ef7H8pbquQVDWdS-uL8mQpLb5nTxma0PD3qSl_T4XVftjodlLADL0gQgUr9oGzxf-ifA,121,Khazix,red,JUNGLE,1,5,1,7448,432,6418,6693,2031,3035,1036,1001,1036,3364
3953528368,6f9ikVQpm-nY1iTgTid44HbKUFmsWwCc-WvE9djYHHH_OCoEppgL1Hzl6liLt0pAFfeNp8S1ZtinLg,42,Corki,red,MIDDLE,0,4,1,1099,12108,1220,6673,3111,1055,3133,3070,1036,3340
3953528368,Ky9VLp5nF9rnvLXGvKBS9E0XtWWTeYOpdgGrkYh6dNlf0UdMgY9xKpr5OQL09Ira8fXDMYGeVSqIzA,81,Ezreal,red,BOTTOM,1,6,1,5322,2546,0,3042,6632,1083,1001,0,0,3340
3953528368,xhLDq3DhNEfX5G6k7oHMk1CCS0nTTsB3mQ3mncLAFNz86pHYK80XdLhQoLvK9ssVT97h9isT8HOGjw,350,Yuumi,red,BOTTOM,1,3,2,520,3043,0,3114,2065,3853,1033,0,0,3364
3964920004,VjT1BbZnv8Q1Y-dYWo7rsRwcY7gqBuK2We8MxuRpoPfL3gL6kA8KhySoVCCQgmO7OKEoyldTJWUi7w,126,Jayce,blue,TOP,7,9,1,16664,3442,3389,1055,6692,3142,3042,3158,3134,3364
3964920004,voDyKKe65k1Q6dwdpYgfZPN3VgNwa8O9kQ7MpHjHWqeGxD4NBEkIwJ1MXsSwYePm61ub2ZUBOLAR_Q,154,Zac,blue,JUNGLE,3,7,8,805,6457,4289,3067,2031,3068,3075,3158,2055,3364
3964920004,84vpaO9jXt4HXjXo7M4UH_UKHDdee8tXtcLUKkgkDYkjXLCCF763hBsa9n-OgIWb58Uim9I__s90YA,142,Zoe,blue,MIDDLE,2,6,8,1290,10219,3113,6655,2033,3157,3020,1052,1082,3363
3964920004,sMbUg4krYpkEF64WKVa5IIBS8rZKhJcYr3O7S6WXd3wrKIhjxF1UH4nBOf5F_l8NGF04zLKnh0YdqQ,15,Sivir,blue,BOTTOM,7,9,5,12985,2092,1174,3036,3006,6671,3508,0,0,3340
3964920004,SprztHQjewgjS03OSKe2p_kp_u5-TmjQxq3MNnC0BQkVJgjQ0wFmMt_NaDMIGNAZ5h8mQeVljSk3-w,267,Nami,blue,BOTTOM,1,7,12,264,5313,418,3853,4005,3916,3158,2055,1052,3364
3964920004,BXsybgDAVwQKeUAscin1oqSjP78N5Pom0wRQA5pL41YpOR3tZrkgmqjf4RHmxBtY1MRKaYliegcVOw,27,Singed,red,JUNGLE,5,4,11,760,15921,7348,3152,3047,2033,3116,4637,1082,3363
3964920004,nhm4lF2pQF8RSRMv_5XEc-yx15LVVTEHuyG3eezuHRyQEhwAtYVrNtFYznsTPgwdhhdIDpRc8eg81A,68,Rumble,red,JUNGLE,6,3,8,384,11698,40674,3041,3152,3157,1026,3020,0,3364
3964920004,MUQh_POIr_niKii7YSaLCXzksihZw_384ZLtMbJrERNItt7uoUM_NcnzwDQiyYT0qC0fRKHPm-L4Mw,246,Qiyana,red,TOP,17,5,3,24346,2660,3862,3158,6694,6695,6693,1036,1036,3364
3964920004,HbAcyIAtoa51ww66TgFpEeRQP8MLOsQ9KDqLv2jrzJMP9Ml2vPJ312fs8rIiI2pGcvMVWahvq4I4TQ,523,Aphelios,red,BOTTOM,7,3,13,10093,1571,23830,1055,3006,3085,3031,6671,0,3363
3964920004,SyG6s33JV_JcU9NdWpdnUPXBdCLMWB1FLQpj-Tua_3b0b2ojlzXX2mAhhON5HcrfBOzrefa43P8MQQ,412,Thresh,red,BOTTOM,3,5,13,586,4043,1763,3107,3190,3158,3857,2055,1057,3364
3966252464,oOHUwKbUnOOOA3mN-EA4lfzoNt8IoXSK2twUNyTEPhhElj1n1-HSRpFUUr-yRV2O4rJb-Mb78MSjpw,420,Illaoi,blue,TOP,2,3,0,15659,59,12681,6630,3053,3047,3508,1036,1036,3340
3966252464,z-yMNN0aKM7pU0K0Bnp67MOIQcSJNA2OwGmDoa-prJoeg54rI1bRHUumdxqIz0-6CN4hWZzQjV6XCw,234,Viego,blue,JUNGLE,0,5,2,4228,362,9170,6632,2031,1037,3044,3111,1028,3364
3966252464,wbv927gOkaMGMBs4QjQKlO4xFEXOjddRVd2EQ2APU9-YpDJUL8fFBGdgZvcz3z_gWBRyuvNfgWC6XA,38,Kassadin,blue,MIDDLE,1,4,1,721,6876,0,6656,3070,1052,1082,1001,3110,3340
3966252464,_EQJdwvT-VDN8n4XFU8CPKIyj0Vqvues8S7Tp-hhh5UXTlDzH4AyCjS0k-ywnDlQFmInh73AIqgUCA,81,Ezreal,blue,BOTTOM,0,6,1,7373,3382,624,1055,6632,3042,0,0,3158,3363
3966252464,Tl61k-HwVw5Xs_o9tYefu0goQmZgA-Tqiro3GtYhPH2P5W56z3hRjKFhHww4WBsmnxZo_uwpoyi2lw,43,Karma,blue,BOTTOM,1,6,2,302,5653,0,3916,2065,3853,1052,3158,0,3364
3966252464,1wFvKKUCfhLh4q1cdgSfIy0mQRhzip9mUNmD3PIcazquFuhu7zGkVeO7Net0lcjCkFMG4b8Bwd0xCQ,72,Skarner,red,TOP,3,1,6,4904,3217,13520,1054,3158,3076,6632,3071,1011,3340
3966252464,OwwNC2yGmzhh8cH1fSRp6GOBOWrXrPUfCB606XaiW8yQL0hG5dNWkjQrwHYpC6wJjKd2oXLpRTxEVw,141,Kayn,red,JUNGLE,11,0,6,19896,2955,38545,6630,0,3042,3158,6694,6695,3364
3966252464,yDsv8yUIkQWaY4dNsSYB-xd3KLfJZ0uOX76-4uEGZhyTMrl_R48CGB1oByCiDzfoznXHu5rEPBQFLg,3,Galio,red,MIDDLE,3,0,8,164,7377,14087,3165,1011,3152,3020,1052,1082,3364
3966252464,qXeGJtnCtOVXBInzq-5kuLxMCqrXR5Yh4JD-iz_LFIZ66Vq_220WNFJU5YHtageKPlzE7-U4g_n9xg,21,MissFortune,red,BOTTOM,5,2,9,15873,2126,15901,1055,6671,3031,0,3006,3036,3363
3966252464,5CxNp-Bfys0v-FU6SeZiYw2UJxpwtw1eTYrjrDNenQpDaoxThxEBJK-6M8gNHTS4horYkHpcgx6KlQ,111,Nautilus,red,BOTTOM,2,1,15,1839,5684,1287,3860,3047,3190,3050,1057,2055,3364
3960485126,TIrakcrbVCi5hCHfGz2NTA4XgfheWyVSkNg-73hFdXI7FKuIqp__SkXCWQODQzSS2Q0agCH9zNabNg,518,Neeko,blue,NONE,1,1,1,2344,2306,6228,6670,1018,3123,1037,1055,3006,3363
3960485126,lUT-TdkQUh9xWBR8SHoITT3jEb-HtBoQ5Ru99aoAlSUPmIj1W5m3Exwfda6NfkqZzX1pp6p-TVG2Pw,20,Nunu,blue,NONE,3,1,6,542,1234,17606,3068,2031,2055,1028,3158,1082,3364
3960485126,AEaLeIBv0loN-N7UTmmS_qm47yKItINNT0RbIgdJdfNWGcrPYsu953Tm8sH_XQzAQSvMWVDwq7D6vw,4,TwistedFate,blue,NONE,0,1,4,463,1740,1498,2423,2033,3009,1082,3802,3067,3340
3960485126,ggGvkv6LwWecYtFVXHlbDgbViES8VJXAdC1LrY-VeSY3DarYPEw7-tbAJFObRBLZ9Gki86gjd7UO4Q,119,Draven,blue,NONE,13,1,5,12569,0,12494,1055,6672,3006,6676,1038,1036,3363
3960485126,7Hd_isGmgP5J9Mv4OrZaspQ5biDegWTirWCAmYbAuMPvWBUtVLD_AnfrD6NQlyo7UzZdsoMG6NJZPQ,63,Brand,blue,NONE,4,1,13,840,7505,4462,3853,2031,4636,2055,3916,3020,3364
3960485126,VpTBHqFSJo6fLSdgacsMZDylAvzC-wcgUVathfCXfdSYcshzXqMY6iHnrecawxJHLSYH9L5Bb15b_g,875,Sett,red,NONE,0,2,0,1660,0,391,1054,2003,1037,3047,0,0,3340
3960485126,QjVNYJsaGiLCeqvF__dqddISfQoqVp0Lh6SlQaY4M0KkRe_psX-wLf7xXmgGxuQhVKFoRZKtx2PQ3g,120,Hecarim,red,NONE,2,5,1,3195,466,3587,3067,3057,3158,3044,0,0,3364
3960485126,Fu1hI6U_-i2fddkMX_jXdqbWRKzrIyWHlP7I1RsdgWIJdNJaudKuGibUYHvaKpCNA9KBpd7S1twvSQ,350,Yuumi,red,NONE,0,7,3,915,1453,0,4642,3851,0,3067,0,0,3340
3960485126,4AvFSIMol2kdlmosrYJb3r01ZdGmDLrgT1Tku1V-v0rnSLfy8UZRnNoaM1VvsSNOBS0g5LpumYRHLg,222,Jinx,red,NONE,3,2,0,3319,217,0,6670,2031,3006,1054,0,0,3340
3960485126,4gvQ_qOfePgD6My6kaw-wdnK-EErm0SNthkg0OOU8VPu1rwZ1Ojl21N240w65wKa3NN8ObSco3h1jw,45,Veigar,red,NONE,0,5,5,509,4085,317,3158,3802,1052,0,0,1056,3340
3957190037,Tc2p66e-NjKkhHDFjka1AA2Cnvv3sAgGtApSQ97s9DnGMZqIfp3qaI6mZkodp4M26BvcZqYXFFq5tg,114,Fiora,blue,NONE,2,6,1,5456,474,0,6631,2031,0,0,0,1001,3340
3957190037,F0cIMyRIG2z0WXCcTZzjQAIyh8tMvvklZSrFz-xSPanxGpcK7t615I0KzVyTrVyZy-Pnlo1JJfVdmQ,131,Diana,blue,NONE,3,5,1,1260,2930,4873,3115,3020,1052,2031,1082,0,3364
