gameId,puuid,championId,championName,teamId,lane,kills,deaths,assists,physicalDamageDone,magicDamageDone,objectiveDamage,item0,item1,item2,item3,item4,item5,item6
3954079029,NhnPq5Ie6yDIjmw93Wk1RJZuqPHMQkrYvYFys_jXJWWUJ28o8-vkhzKzZd4PaedVG3I3AUpKEcc9_Q,240,Kled,blue,MIDDLE,4,6,3,12752,0,15637,6631,3748,3181,0,3105,3047,3364
3954079029,tVEYUet2RGd4x6tOjM8qVH4F5-tcg_8ZHpi5oN7wGDGchCRIY_F-H8AR8bcS7Ohg6v3Ss3BzQYhG9w,64,LeeSin,blue,JUNGLE,7,3,5,9855,2263,34824,2421,6630,3143,2055,3053,3047,3340
3954079029,w4mOMfUafKZTQgxilIIDvGaByZH-LfLJp3Y55J5s0LWyAQ6qzHMWJhpuA6VKA7HO3ltB-UgLhytkLA,13,Ryze,blue,MIDDLE,7,3,1,117,19492,19419,3157,6655,2055,3040,3020,4629,3364
3954079029,vsXfVHqodM6oaLhSrnL4sVtgCq6kylVTGppuahd_phMsixftIH58B0znknyusW__zNKKwJO5puffFw,22,Ashe,blue,BOTTOM,6,3,7,14639,2206,19697,3072,3085,6673,0,3006,3031,3363
3954079029,6N4ZJhlkLpiRnpvNHO2qj5vgdQSVRV53n221v7IZwScjz0LRNaWtWFgYf-355mSj9grNwQnZnL4N9A,79,Gragas,blue,BOTTOM,1,5,8,429,10470,2985,2055,3853,6656,2424,3158,3191,3364
3954079029,o5lkCQ_eHVUVDp0iFT-_WricAx94tSoc_xzKIfEBHVXfwcygPNFZa8KDT2n8D1T7raniUjtVMKuRFQ,17,Teemo,red,TOP,6,5,2,4425,21400,18999,3115,4633,3041,0,3135,3006,3364
3954079029,r_rm8bGAXbh75SzpWEZE59vR7aA4otJ0CUGle21h95KMEAkh56OsGhkbf787NVYPM7e3Roh0Fwj4Xg,245,Ekko,red,JUNGLE,5,4,4,1418,9998,17607,2055,1058,3152,1082,3100,3111,3364
3954079029,aykLymojCjlINsaFKw6tb0_-gtQoFQch0AxQytIjp2pUQ4YQ7ZiCDLrVnNa-d56_nRtIiNam_niWZA,236,Lucian,red,MIDDLE,5,6,2,13617,2363,2699,6671,3508,3006,3036,1037,1018,3363
3954079029,fH0oCQ66Urazhww_j5xO2CCLljqbRaxUdase5qyYIgigqlPwBLU8Dzyq4wjjm2y8URAEamrZrqBLng,523,Aphelios,red,BOTTOM,2,6,7,17900,1018,7134,3031,3006,3085,6672,1037,0,3363
3954079029,b_U_cqBlWe7SCJmnJKaArTdtS6xVJrfKshpm5ZeudD3og93f95_8S1miUDHFyKxGqQ8o6yaYoVKmXA,412,Thresh,red,BOTTOM,2,4,8,651,3676,1093,3857,2065,2055,3009,2031,1057,3364
